Source	OrgProfID	Lat	Long	SoilClass	HzDeIn	HzDeFn	TotFe2O3
RADAM_VOL_27	203	-19.9833	-56.4833	Vertissolo_arg	0	30	8.1
RADAM_VOL_27	203	-19.9833	-56.4833	Vertissolo_arg	60	130	10.2
RADAM_VOL_27	204	-19.9833	-56.4333	Podzolico_Vermelho_Amarelo_Eutrófico_A_moderado_Tetura_média/argilosa_TbRelevo_suave_ondulado	60	90	5.5
RADAM_VOL_27	204	-19.9833	-56.4333	Podzolico_Vermelho_Amarelo_Eutrófico_A_moderado_Tetura_média/argilosa_TbRelevo_suave_ondulado	0	25	2.9
RADAM_VOL_27	205	-19.0333	-54.0167	Podzólico_Vermelho_Amarelo_Eutrófico_Ta_ab_Aren/méd	70	90	1.7
RADAM_VOL_27	205	-19.0333	-54.0167	PE_Ta_ab_Aren/méd	0	15	1
RADAM_VOL_27	206	-19.0833	-55.4333	Podzol_Hidromófico_A_Moderado_Tetura_Arenosa	57	92	
RADAM_VOL_27	206	-19.0833	-55.4333	Podzol_Hidromófico_A_Moderado_Tetura_Arenosa	0	30	
RADAM_VOL_27	207	-19.1167	-54.9333	LV_a_méd	55	160	1.5
RADAM_VOL_27	207	-19.1167	-54.9333	LV_a_méd	0	30	1.3
RADAM_VOL_27	208	-19.2667	-54.9	PV_a_méd	65	110	3.6
RADAM_VOL_27	208	-19.2667	-54.9	PV_a_méd	0	40	2.7
RADAM_VOL_27	209	-19.2833	-54.1667	Podzólico_Vermelho_Amarelo_Eutrófico_Ta_ab_A_chern_Aren/méd	80	170	0.5
RADAM_VOL_27	209	-19.2833	-54.1667	Podzólico_Vermelho_Amarelo_Eutrófico_Ta_ab_A_chern_Aren/méd	0	45	0.5
RADAM_VOL_27	210	-19.35	-55.45		80	130	0.93
RADAM_VOL_27	210	-19.35	-55.45		0	20	0.26
RADAM_VOL_27	211	-19.4	-54.9833	Podzólico_Vermelho_Amarelo_Eutrófico_Tb_aren/méd	140	160	3
RADAM_VOL_27	211	-19.4	-54.9833	Podzólico_Vermelho_Amarelo_Eutrófico_Tb_aren/méd	0	40	1.8
RADAM_VOL_27	212	-19.4167	-54.0333	Podzólico_Vermelho_Amarelo_Eutrófico_Ta_méd	0	28	0.7
RADAM_VOL_27	212	-19.4167	-54.0333	Podzólico_Vermelho_Amarelo_Eutrófico_Ta_méd	80	105	1.1
RADAM_VOL_27	213	-19.4	-55.25		30	90	0.62
RADAM_VOL_27	213	-19.4	-55.25		0	30	0.82
RADAM_VOL_27	214	-19.4333	-54.9833	C_e_Ta_A_chern_Méd	120	140	2.1
